id,longitude,latitude,date,time
1,151.25066,-23.840897,2021-12-28,00:01
2,153.01736,-27.466467,2021-12-27,00:00
3,151.25066,-23.840897,2021-12-27,12:00
4,146.81145,-19.267107,2021-12-27,12:30
5,145.77582,-16.921663,2021-12-27,00:00
6,145.46059,-16.481018,2021-12-27,12:00
7,145.46066,-16.484583,2021-12-27,12:00
8,153.01736,-27.466467,2021-12-26,00:00
9,152.36717,-24.8536,2021-12-26,10:00
10,150.51324,-23.376163,2021-12-26,19:00
11,150.52263,-23.355936,2021-12-26,09:40
12,150.5224,-23.353285,2021-12-26,09:20
13,150.74924,-23.131248,2021-12-26,07:30
14,146.76184,-19.298832,2021-12-26,09:30
15,139.49103,-20.725843,2021-12-26,14:15
16,145.77582,-16.921663,2021-12-26,19:30
17,145.34897,-16.474089,2021-12-26,12:00
18,145.46313,-16.48103,2021-12-26,18:00
19,145.46288,-16.481361,2021-12-26,12:15
20,145.46066,-16.484583,2021-12-26,06:00
21,145.46391,-16.482735,2021-12-26,06:15
22,153.01736,-27.466467,2021-12-25,00:00
23,146.85463,-19.157438,2021-12-25,12:00
24,146.0282,-17.52697,2021-12-25,11:00
25,145.77582,-16.921663,2021-12-25,00:00
26,145.78023,-16.922958,2021-12-25,12:00
27,145.74802,-16.911547,2021-12-25,00:01
28,145.46329,-16.481236,2021-12-25,17:30
29,145.46574,-16.520752,2021-12-25,11:45
30,153.01736,-27.466467,2021-12-24,00:00
31,153.03462,-27.422121,2021-12-24,09:00
32,148.78862,-26.57121,2021-12-24,12:30
33,148.78862,-26.57121,2021-12-24,12:30
34,148.78839,-26.574158,2021-12-24,10:30
35,151.25296,-23.84102,2021-12-24,11:15
36,150.74893,-23.12976,2021-12-24,12:40
37,150.51321,-24.402231,2021-12-24,11:00
38,150.51357,-24.402857,2021-12-24,11:00
39,146.82648,-19.251038,2021-12-24,19:30
40,146.82648,-19.251038,2021-12-24,19:30
41,146.82645,-19.250738,2021-12-24,18:30
42,146.82645,-19.250738,2021-12-24,18:30
43,146.72473,-19.31481,2021-12-24,06:30
44,146.85463,-19.157438,2021-12-24,16:00
45,145.77582,-16.921663,2021-12-24,19:30
46,145.73116,-16.900246,2021-12-24,17:00
47,145.46313,-16.48103,2021-12-24,18:00
48,145.4611,-16.484722,2021-12-24,16:00
49,145.46066,-16.484583,2021-12-24,07:00
50,145.67082,-16.749758,2021-12-24,10:45
51,145.59291,-17.352177,2021-12-24,13:30
52,153.01736,-27.466467,2021-12-23,23:00
53,153.0261,-27.44926,2021-12-23,07:00
54,153.0261,-27.44926,2021-12-23,07:00
55,153.0261,-27.44926,2021-12-23,07:00
56,151.60788,-25.624348,2021-12-23,18:00
57,151.26048,-23.848131,2021-12-23,09:30
58,151.25296,-23.84102,2021-12-23,14:30
59,146.82648,-19.251038,2021-12-23,19:55
60,146.82024,-19.260494,2021-12-23,19:00
61,146.82645,-19.250738,2021-12-23,17:00
62,146.82645,-19.250738,2021-12-23,17:00
63,146.82611,-19.250685,2021-12-23,17:30
64,146.82611,-19.250685,2021-12-23,17:30
65,146.82205,-19.314781,2021-12-23,18:20
66,146.80612,-19.307661,2021-12-23,11:00
67,146.75883,-19.275648,2021-12-23,11:00
68,145.78079,-16.922396,2021-12-23,20:00
69,145.78044,-16.92176,2021-12-23,08:00
70,145.77559,-16.92359,2021-12-23,06:30
71,145.76988,-16.917582,2021-12-23,00:01
72,145.46396,-16.068085,2021-12-23,13:00
73,145.75317,-16.938608,2021-12-23,07:00
74,145.46652,-16.484306,2021-12-23,17:00
75,145.46288,-16.481361,2021-12-23,18:45
76,153.0261,-27.44926,2021-12-22,07:00
77,153.0261,-27.44926,2021-12-22,07:00
78,153.0261,-27.44926,2021-12-22,07:00
79,153.15651,-27.694563,2021-12-22,10:00
80,153.43097,-28.001793,2021-12-22,13:00
81,150.51889,-23.35666,2021-12-22,13:45
82,150.51906,-23.332088,2021-12-22,12:30
83,146.82645,-19.250738,2021-12-22,11:00
84,146.82645,-19.250738,2021-12-22,11:00
85,146.81152,-19.26708,2021-12-22,20:45
86,146.81152,-19.26708,2021-12-22,20:15
87,146.81145,-19.267107,2021-12-22,18:20
88,146.81558,-19.260384,2021-12-22,12:30
89,146.73692,-19.317926,2021-12-22,13:45
90,145.78076,-16.921354,2021-12-22,08:00
91,145.74323,-16.900457,2021-12-22,16:15
92,145.77538,-16.923895,2021-12-22,18:30
93,145.78088,-16.922058,2021-12-22,17:45
94,145.76988,-16.917582,2021-12-22,00:01
95,145.6333,-16.819557,2021-12-22,10:30
96,145.34897,-16.474089,2021-12-22,11:30
97,145.46278,-16.480524,2021-12-22,17:00
98,145.70963,-16.881565,2021-12-22,17:00
99,145.70079,-16.787735,2021-12-22,11:45
100,145.63878,-16.818474,2021-12-22,15:30
101,145.6337,-16.819042,2021-12-22,13:00
102,145.63571,-16.819113,2021-12-22,13:50
103,153.0261,-27.44926,2021-12-21,06:30
104,153.0261,-27.44926,2021-12-21,06:30
105,153.0261,-27.44926,2021-12-21,06:30
106,152.96164,-27.080624,2021-12-21,08:15
107,150.5064,-23.397144,2021-12-21,16:30
108,149.1614,-21.128664,2021-12-21,11:55
109,146.82205,-19.314781,2021-12-21,18:20
110,146.80464,-19.272963,2021-12-21,12:20
111,146.76308,-19.299238,2021-12-21,15:00
112,146.76184,-19.298832,2021-12-21,15:30
113,146.86018,-19.11786,2021-12-21,09:05
114,145.75174,-16.93211,2021-12-21,05:45
115,145.73737,-16.945538,2021-12-21,09:30
116,145.76988,-16.917582,2021-12-21,18:30
117,145.46278,-16.480524,2021-12-21,18:00
118,145.46278,-16.480524,2021-12-21,18:00
119,153.0261,-27.44926,2021-12-20,12:30
120,153.0261,-27.44926,2021-12-20,12:30
121,153.0261,-27.44926,2021-12-20,12:30
122,153.06471,-27.399143,2021-12-20,08:15
123,153.09488,-27.366432,2021-12-20,08:00
124,153.02367,-27.389643,2021-12-20,22:00
125,152.99156,-27.485071,2021-12-20,09:22
126,153.00146,-27.485558,2021-12-20,09:10
127,150.31143,-28.528782,2021-12-20,18:52
128,153.09149,-25.902702,2021-12-20,15:00
129,152.34966,-24.871986,2021-12-20,14:40
130,152.34966,-24.871986,2021-12-20,14:40
131,152.34947,-24.871605,2021-12-20,09:30
132,152.34947,-24.871605,2021-12-20,09:30
133,151.25601,-23.84393,2021-12-20,18:30
134,151.2523,-23.83813,2021-12-20,17:25
135,151.25325,-23.832342,2021-12-20,16:30
136,146.81499,-19.250294,2021-12-20,11:30
137,146.82645,-19.250738,2021-12-20,14:00
138,146.82645,-19.250738,2021-12-20,14:00
139,146.81152,-19.26708,2021-12-20,19:00
140,146.81558,-19.260384,2021-12-20,11:00
141,146.85587,-19.157482,2021-12-20,13:20
142,146.8482,-19.160816,2021-12-20,15:15
143,146.86137,-19.11737,2021-12-20,11:30
144,146.86166,-19.117363,2021-12-20,18:30
145,145.73824,-16.943176,2021-12-20,17:45
146,145.75974,-16.908073,2021-12-20,09:30
147,145.46547,-16.501669,2021-12-20,00:00
148,145.46211,-16.48156,2021-12-20,17:25
149,145.46901,-17.267754,2021-12-20,13:45
150,153.02654,-27.46941,2021-12-19,17:35
151,153.02994,-27.46618,2021-12-19,11:35
152,153.03104,-27.46262,2021-12-19,00:14
153,153.04306,-27.419722,2021-12-19,10:24
154,153.02367,-27.389643,2021-12-19,17:30
155,152.97911,-27.4092,2021-12-19,10:55
156,152.97949,-27.40922,2021-12-19,10:35
157,152.98051,-27.409163,2021-12-19,11:32
158,152.9784,-27.40878,2021-12-19,10:10
159,152.99344,-27.444511,2021-12-19,08:10
160,152.93767,-27.549467,2021-12-19,10:00
161,153.01595,-27.474958,2021-12-19,12:54
162,153.03903,-27.48477,2021-12-19,11:20
163,153.03143,-27.514166,2021-12-19,07:15
164,153.02394,-27.577314,2021-12-19,11:10
165,153.06519,-27.559843,2021-12-19,12:30
166,153.14027,-27.669277,2021-12-19,07:25
167,153.05193,-27.499039,2021-12-19,10:15
168,153.43408,-28.040169,2021-12-19,09:30
169,153.14307,-27.075514,2021-12-19,11:00
170,152.36374,-26.587864,2021-12-19,00:00
171,151.24289,-23.869585,2021-12-19,09:15
172,149.17816,-21.138624,2021-12-19,08:15
173,149.17749,-21.139843,2021-12-19,09:20
174,149.1786,-21.138144,2021-12-19,09:30
175,149.17897,-21.13723,2021-12-19,09:40
176,149.1614,-21.128664,2021-12-19,10:40
177,149.17918,-21.137821,2021-12-19,09:00
178,146.81499,-19.250294,2021-12-19,11:30
179,146.82645,-19.250738,2021-12-19,16:00
180,146.82645,-19.250738,2021-12-19,16:00
181,146.82034,-19.257307,2021-12-19,00:00
182,145.77582,-16.921663,2021-12-19,22:00
183,145.76013,-16.907965,2021-12-19,18:45
184,145.78098,-16.918522,2021-12-19,16:00
185,145.77429,-16.923641,2021-12-19,18:54
186,145.7596,-16.907066,2021-12-19,13:10
187,145.46547,-16.501669,2021-12-19,00:00
188,153.03064,-27.47753,2021-12-18,14:49
189,153.02516,-27.469305,2021-12-18,12:45
190,153.03033,-27.469057,2021-12-18,12:00
191,153.02562,-27.470531,2021-12-18,13:00
192,153.03038,-27.466717,2021-12-18,22:00
193,153.028,-27.47268,2021-12-18,12:59
194,153.03616,-27.462435,2021-12-18,13:00
195,153.03734,-27.462673,2021-12-18,15:00
196,153.02608,-27.468304,2021-12-18,15:25
197,153.03838,-27.463633,2021-12-18,11:48
198,153.03047,-27.465303,2021-12-18,16:00
199,153.0488,-27.454222,2021-12-18,09:00
200,153.03986,-27.455223,2021-12-18,00:00
201,153.03477,-27.457943,2021-12-18,22:30
202,153.03477,-27.457943,2021-12-18,22:30
203,153.033,-27.457079,2021-12-18,21:50
204,153.033,-27.457079,2021-12-18,21:50
205,153.03944,-27.45362,2021-12-18,11:00
206,153.03944,-27.45362,2021-12-18,11:00
207,153.02658,-27.427113,2021-12-18,11:40
208,153.03287,-27.429401,2021-12-18,08:15
209,153.05829,-27.340313,2021-12-18,15:40
210,153.0082,-27.43721,2021-12-18,11:30
211,153.00755,-27.437618,2021-12-18,10:40
212,152.94939,-27.415333,2021-12-18,15:04
213,153.00821,-27.502918,2021-12-18,00:00
214,152.93825,-27.54988,2021-12-18,10:55
215,153.01186,-27.481504,2021-12-18,08:20
216,153.01646,-27.47543,2021-12-18,19:46
217,153.01231,-27.481268,2021-12-18,09:00
218,153.03653,-27.487274,2021-12-18,18:43
219,153.03658,-27.56824,2021-12-18,08:30
220,153.02693,-27.589272,2021-12-18,13:00
221,153.03357,-27.617855,2021-12-18,09:40
222,153.03995,-27.663662,2021-12-18,09:50
223,153.08223,-27.562614,2021-12-18,11:00
224,153.08223,-27.562614,2021-12-18,11:00
225,153.08109,-27.562565,2021-12-18,11:05
226,152.9834,-27.737131,2021-12-18,11:05
227,153.09944,-27.471172,2021-12-18,07:30
228,153.05397,-27.45089,2021-12-18,17:35
229,153.44078,-27.40356,2021-12-18,16:30
230,153.44078,-27.40356,2021-12-18,16:30
231,152.36374,-26.587864,2021-12-18,00:00
232,153.13417,-26.80499,2021-12-18,09:00
233,153.13411,-26.803734,2021-12-18,13:19
234,153.13448,-26.805067,2021-12-18,12:30
235,152.3531,-24.86517,2021-12-18,21:45
236,152.35147,-24.865921,2021-12-18,23:20
237,149.18857,-21.126799,2021-12-18,09:52
238,146.82173,-19.258762,2021-12-18,18:30
239,146.82074,-19.259512,2021-12-18,17:00
240,146.80644,-19.24097,2021-12-18,15:20
241,146.81499,-19.250294,2021-12-18,18:35
242,146.81499,-19.250294,2021-12-18,11:30
243,146.8201,-19.260544,2021-12-18,20:05
244,146.81738,-19.259674,2021-12-18,07:40
245,146.81738,-19.259674,2021-12-18,07:40
246,146.82034,-19.257307,2021-12-18,20:30
247,146.81679,-19.315525,2021-12-18,11:35
248,146.79091,-19.271984,2021-12-18,08:45
249,146.73935,-19.269768,2021-12-18,15:30
250,146.71162,-19.318285,2021-12-18,09:50
251,146.71162,-19.318285,2021-12-18,09:50
252,145.76013,-16.907965,2021-12-18,12:45
253,145.77196,-16.929111,2021-12-18,13:15
254,145.75974,-16.908073,2021-12-18,11:45
255,145.76602,-16.924362,2021-12-18,14:20
256,145.77357,-16.934269,2021-12-18,12:30
257,145.77333,-16.919542,2021-12-18,09:15
258,145.46547,-16.501669,2021-12-18,00:00
259,153.0308,-27.468573,2021-12-17,17:30
260,153.02513,-27.470469,2021-12-17,17:30
261,153.02394,-27.469574,2021-12-17,10:45
262,153.05434,-27.469017,2021-12-17,20:30
263,153.03986,-27.455223,2021-12-17,00:00
264,153.03444,-27.458208,2021-12-17,00:10
265,153.03444,-27.458208,2021-12-17,01:50
266,153.04369,-27.448093,2021-12-17,15:35
267,153.0441,-27.447796,2021-12-17,13:00
268,153.04025,-27.453476,2021-12-17,13:46
269,153.04025,-27.453476,2021-12-17,13:46
270,153.06555,-27.43387,2021-12-17,18:15
271,153.072,-27.385284,2021-12-17,08:00
272,152.99023,-27.423086,2021-12-17,17:25
273,152.97417,-27.411667,2021-12-17,13:36
274,153.00821,-27.502918,2021-12-17,00:00
275,152.97737,-27.602468,2021-12-17,16:05
276,152.96825,-27.624527,2021-12-17,11:30
277,152.96867,-27.626055,2021-12-17,11:30
278,153.01613,-27.53378,2021-12-17,06:45
279,153.06506,-27.590954,2021-12-17,18:45
280,153.02394,-27.577314,2021-12-17,17:00
281,153.02394,-27.577314,2021-12-17,21:30
282,153.06519,-27.559843,2021-12-17,19:20
283,153.06519,-27.559843,2021-12-17,19:20
284,153.0453,-27.66372,2021-12-17,11:50
285,153.04501,-27.665384,2021-12-17,10:20
286,153.0482,-27.662395,2021-12-17,18:30
287,153.08223,-27.562614,2021-12-17,12:30
288,153.08324,-27.56338,2021-12-17,14:00
289,153.08223,-27.562614,2021-12-17,12:35
290,153.07777,-27.551924,2021-12-17,18:30
291,153.08067,-27.562717,2021-12-17,08:30
292,153.08223,-27.562544,2021-12-17,08:45
293,153.08223,-27.562614,2021-12-17,12:30
294,153.0802,-27.562445,2021-12-17,14:00
295,153.10242,-27.502928,2021-12-17,10:20
296,153.10187,-27.50146,2021-12-17,10:35
